kilde (aktivitet),energiprodukt,komponent,år,statistikkvariabel,"13931: Klimagasser AR5, etter kilde (aktivitet), energiprodukt, komponent, år og statistikkvariabel"
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44539
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44975
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",45523
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44708
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44197
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",44472
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",42866
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",41275
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",41058
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",40833
0 Alle kilder,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",38869
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",13163
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",13861
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",14380
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",14073
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",13801
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",13664
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",13502
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",12771
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11752
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11703
1 Olje- og gassutvinning,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11216
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11081
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10760
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11076
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10786
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11280
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11298
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10832
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10772
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11094
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",11017
2 Industri og bergverk,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10397
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1732
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1728
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1724
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1707
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1862
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1855
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1748
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1687
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1719
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1447
3 Energiforsyning,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",1193
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",966
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",786
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",672
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",785
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",655
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",541
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",378
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",273
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",293
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",292
4 Oppvarming i andre næringer og husholdninger,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",383
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",9914
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10126
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",10157
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",9889
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",9020
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",9260
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",8627
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",8248
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",8610
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",8604
5 Veitrafikk,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7920
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7411
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7448
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7263
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7203
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7306
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7572
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7517
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7213
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7268
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7458
"6 Luftfart, sjøfart, fiske, motorredskaper m.m.",VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",7449
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",68
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",72
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",75
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",78
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",81
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",91
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",101
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",111
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",115
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",119
7 Jordbruk,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",123
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2013,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",205
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2014,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",195
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2015,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",175
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2016,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",186
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2017,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",193
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2018,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",189
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2019,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",160
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2020,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",200
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2021,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",207
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2022,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",194
9 Andre kilder,VT0 I alt,K11 Karbondioksid (CO2),2023,"Utslipp til luft (1 000 tonn CO2-ekvivalenter, AR5)",189
